Date,Open,High,Low,Close,Adj Close,Volume
2021-10-25,11.671666,11.833333,11.251666,11.833333,10.428204,149400
2021-10-26,11.750000,12.166666,11.603333,11.666666,10.281327,165000
2021-10-27,11.833333,12.251666,11.625000,11.625000,10.244609,238200
2021-10-28,11.625000,11.636666,11.376666,11.463333,10.102139,99000
2021-10-29,11.381666,11.483333,10.770000,10.933333,9.635074,402600
2021-11-01,10.833333,11.331666,10.791666,10.791666,9.510228,235800
2021-11-03,10.833333,10.915000,10.588333,10.608333,9.348663,187200
2021-11-04,10.501666,10.733333,10.333333,10.390000,9.156258,139200
2021-11-05,10.655000,10.666666,10.386666,10.608333,9.348663,33000
2021-11-08,10.543333,10.725000,10.500000,10.500000,9.253196,19800
2021-11-09,10.696666,10.731666,10.505000,10.596666,9.338384,62400
2021-11-10,10.540000,10.540000,10.058333,10.083333,8.886004,365400
2021-11-11,10.081666,10.303333,10.008333,10.083333,8.886004,777600
2021-11-12,10.075000,10.366666,10.008333,10.083333,8.886004,45600
2021-11-16,10.146666,10.278333,9.998333,10.185000,8.975599,87600
2021-11-17,10.090000,10.181666,10.031666,10.060000,8.865442,185400
2021-11-18,10.220000,10.331666,10.000000,10.000000,8.812567,341400
2021-11-19,10.180000,10.318333,10.000000,10.166666,8.959443,156000
2021-11-22,10.145000,10.145000,9.966666,9.966666,8.783192,75000
2021-11-23,10.000000,10.005000,9.910000,9.926666,8.747941,114600
2021-11-24,10.000000,10.498333,9.833333,9.966666,8.783192,221400
2021-11-25,9.993333,10.073333,9.935000,10.000000,8.812567,63600
2021-11-26,9.998333,10.000000,9.585000,10.000000,8.812567,150000
2021-11-29,10.050000,10.081666,9.833333,10.000000,8.812567,320400
2021-11-30,9.880000,9.880000,9.488333,9.833333,8.665690,171000
2021-12-01,9.863333,10.290000,9.708333,9.775000,8.614285,142200
2021-12-02,9.941666,9.996666,9.748333,9.801666,8.637784,204600
2021-12-03,9.893333,9.893333,9.791666,9.791666,8.628971,148800
2021-12-06,9.788333,10.000000,9.768333,10.000000,8.812567,216600
2021-12-07,10.000000,10.000000,9.815000,9.820000,8.653942,255600
2021-12-08,9.833333,9.883333,9.811666,9.820000,8.653942,187800
2021-12-09,9.821666,9.856666,9.800000,9.800000,8.636316,63000
2021-12-10,9.833333,9.908333,9.820000,9.908333,8.731783,13800
2021-12-13,9.900000,9.961666,9.795000,9.931666,8.752347,157800
2021-12-14,9.900000,9.900000,9.765000,9.833333,8.665690,39000
2021-12-15,9.840000,9.841666,9.810000,9.841666,8.673034,16800
2021-12-16,9.778333,9.778333,9.628333,9.636666,8.492376,168000
2021-12-17,9.678333,9.678333,9.636666,9.636666,8.492376,13800
2021-12-20,9.583333,9.613333,9.416666,9.416666,8.298500,52200
2021-12-21,9.416666,9.418333,9.350000,9.350000,8.239751,107400
2021-12-22,9.350000,9.350000,9.258333,9.275000,8.173656,170400
2021-12-23,9.283333,9.335000,9.275000,9.275000,8.173656,6000
2021-12-27,9.291666,9.333333,9.168333,9.290000,8.186873,196200
2021-12-28,9.291666,9.596666,9.080000,9.250000,8.151625,2126400
2021-12-29,9.346666,9.346666,8.941666,9.033333,7.960684,198000
2021-12-30,9.016666,9.280000,9.003333,9.280000,8.178062,209400
2022-01-03,9.243333,9.463333,9.045000,9.135000,8.050280,277200
2022-01-04,9.086666,9.333333,8.835000,9.333333,8.225062,285600
2022-01-05,9.331666,9.331666,9.050000,9.211666,8.117842,583800
2022-01-06,9.223333,9.223333,8.918333,9.006666,7.937184,190200
2022-01-07,9.110000,9.321666,8.836666,9.048333,7.973904,720000
2022-01-10,9.080000,9.225000,8.866666,8.998333,7.929842,336600
2022-01-11,9.056666,9.063333,8.926666,8.998333,7.929842,211800
2022-01-12,8.953333,9.333333,8.950000,9.000000,7.931311,908400
2022-01-13,9.036666,9.145000,8.875000,8.998333,7.929842,285000
2022-01-14,9.000000,9.415000,8.686666,9.183333,8.092875,868800
2022-01-17,9.101666,9.498333,9.101666,9.498333,8.370470,325200
2022-01-18,9.530000,9.533333,9.286666,9.416666,8.298500,333000
2022-01-19,9.405000,9.653333,9.251666,9.258333,8.158969,165600
2022-01-20,9.253333,9.666666,9.253333,9.351666,8.241220,195000
2022-01-21,9.350000,9.478333,9.255000,9.333333,8.225062,85800
2022-01-24,9.381666,9.498333,9.201666,9.286666,8.183936,450600
2022-01-25,9.226666,9.413333,9.171666,9.333333,8.225062,461400
2022-01-26,9.336666,9.491666,9.311666,9.333333,8.225062,233400
2022-01-27,9.346666,10.068333,9.346666,9.998333,8.811097,935400
2022-01-28,10.083333,10.206666,9.931666,10.083333,8.886004,436200
2022-01-31,10.193333,10.193333,9.998333,10.105000,8.905099,832800
2022-02-01,10.141666,10.150000,9.918333,10.081666,8.884536,291600
2022-02-02,10.080000,10.165000,9.998333,10.083333,8.886004,352200
2022-02-03,10.165000,10.166666,10.003333,10.156666,8.950630,243600
2022-02-04,10.066666,10.116666,9.775000,10.008333,8.819911,372000
2022-02-07,10.065000,10.113333,9.891666,10.000000,8.812567,201600
2022-02-08,10.071666,10.071666,9.795000,9.973333,8.789067,210600
2022-02-09,10.070000,10.105000,9.963333,10.016666,8.827254,203400
2022-02-10,10.138333,10.138333,9.958333,9.996666,8.809628,229800
2022-02-11,10.080000,10.080000,9.888333,9.933333,8.753817,420600
2022-02-14,9.990000,10.085000,9.898333,9.948333,8.767035,340200
2022-02-15,10.078333,10.125000,9.976666,10.000000,8.812567,499800
2022-02-16,10.068333,10.068333,9.921666,10.000000,8.812567,313800
2022-02-17,9.961666,10.051666,9.948333,9.958333,8.775847,120600
2022-02-18,9.931666,10.055000,9.685000,9.833333,8.665690,571800
2022-02-21,9.843333,9.843333,9.501666,9.533333,8.401314,357600
2022-02-22,9.558333,9.898333,9.511666,9.666666,8.518814,402600
2022-02-23,9.710000,9.745000,9.550000,9.586666,8.448314,319200
2022-02-24,9.458333,9.758333,9.251666,9.468333,8.344032,556200
2022-02-25,9.710000,9.710000,9.373333,9.500000,8.371940,530400
2022-03-02,9.275000,9.631666,9.261666,9.421666,8.302907,331200
2022-03-03,9.456666,9.545000,9.366666,9.450000,8.327876,218400
2022-03-04,9.495000,9.495000,9.166666,9.425000,8.305845,209400
2022-03-07,9.316666,9.331666,9.183333,9.200000,8.107561,336000
2022-03-08,9.218333,9.245000,8.873333,9.245000,8.147219,427800
2022-03-09,9.310000,9.426666,9.205000,9.416666,8.298500,650400
2022-03-10,9.411666,9.538333,9.316666,9.316666,8.210373,393600
2022-03-11,9.358333,9.358333,9.078333,9.226666,8.131062,388800
2022-03-14,9.183333,9.348333,9.116666,9.166666,8.078187,207000
2022-03-15,9.118333,9.285000,9.106666,9.208333,8.114904,538800
2022-03-16,9.220000,9.240000,9.091666,9.153333,8.066436,425400
2022-03-17,9.150000,9.168333,9.066666,9.108333,8.026779,306000
2022-03-18,9.166666,9.883333,9.083333,9.883333,8.709754,345600
2022-03-21,9.875000,9.875000,9.693333,9.833333,8.665690,140400
2022-03-22,9.833333,10.266666,9.776666,10.266666,9.047568,229200
2022-03-23,10.286666,10.405000,9.953333,10.405000,9.169476,267000
2022-03-24,10.378333,10.426666,10.206666,10.308333,9.084288,340200
2022-03-25,10.336666,10.383333,10.126666,10.166666,8.959443,438000
2022-03-28,10.051666,10.468333,10.048333,10.468333,9.225288,437400
2022-03-29,10.500000,10.808333,10.413333,10.666666,9.400072,457200
2022-03-30,10.665000,10.666666,10.251666,10.466666,9.223820,562200
2022-03-31,10.426666,10.493333,10.291666,10.400000,9.165070,411600
2022-04-01,10.400000,10.593333,10.270000,10.441666,9.201788,520800
2022-04-04,10.420000,10.461666,10.201666,10.233333,9.018193,309600
2022-04-05,10.316666,10.316666,9.993333,10.016666,8.827254,306000
2022-04-06,10.000000,10.221666,9.833333,9.916666,8.739128,336600
2022-04-07,10.025000,10.025000,9.696666,9.808333,8.643660,329400
2022-04-08,9.775000,9.775000,9.578333,9.641666,8.496783,542400
2022-04-11,9.545000,9.688333,9.500000,9.556666,8.421876,145200
2022-04-12,9.665000,9.873333,9.568333,9.625000,8.482096,153600
2022-04-13,9.590000,9.700000,9.528333,9.683333,8.533503,186600
2022-04-14,9.716666,9.760000,9.570000,9.666666,8.518814,269400
2022-04-18,9.548333,9.880000,9.548333,9.880000,8.706816,112200
2022-04-19,9.878333,9.878333,9.645000,9.833333,8.665690,256800
2022-04-20,9.826666,9.950000,9.728333,9.950000,8.768504,268800
2022-04-22,10.078333,10.078333,9.766666,9.833333,8.665690,139200
2022-04-25,9.790000,9.791666,9.643333,9.650000,8.504127,487200
2022-04-26,9.676666,9.825000,9.491666,9.500000,8.371940,413400
2022-04-27,9.166666,9.211666,9.055000,9.190000,8.498627,555600
2022-04-28,9.261666,9.401666,9.181666,9.315000,8.614223,473400
2022-04-29,9.336666,9.426666,9.195000,9.301666,8.601892,482400
2022-05-02,9.398333,9.398333,9.036666,9.291666,8.592644,281400
2022-05-03,9.346666,9.346666,9.066666,9.216666,8.523287,352800
2022-05-04,9.215000,9.433333,9.016666,9.433333,8.723654,613200
2022-05-05,9.343333,9.373333,9.138333,9.341666,8.638883,394800
2022-05-06,9.356666,9.395000,9.168333,9.216666,8.523287,593400
2022-05-09,9.130000,9.228333,9.130000,9.175000,8.484755,564600
2022-05-10,9.298333,9.338333,9.068333,9.256666,8.560278,350400
2022-05-11,9.341666,9.341666,9.135000,9.166666,8.477049,298800
2022-05-12,9.175000,9.296666,9.101666,9.195000,8.503250,517800
2022-05-13,9.326666,9.380000,9.271666,9.330000,8.628094,1092000
2022-05-16,9.330000,9.330000,9.330000,9.330000,8.628094,0
2022-05-17,9.060000,9.240000,9.050000,9.100000,8.415399,3173200
2022-05-18,9.130000,9.160000,9.010000,9.090000,8.406151,470700
2022-05-19,9.150000,9.180000,8.960000,9.060000,8.378407,679100
2022-05-20,9.130000,9.200000,9.040000,9.140000,8.452390,863200
2022-05-23,9.200000,9.650000,9.180000,9.610000,8.887030,1928800
2022-05-24,9.610000,9.700000,9.480000,9.640000,8.914773,840700
2022-05-25,9.550000,9.550000,9.150000,9.350000,8.646590,972000
2022-05-26,9.370000,9.440000,9.210000,9.340000,8.637341,676400
2022-05-27,9.330000,9.370000,9.190000,9.340000,8.637341,548300
2022-05-30,9.340000,9.380000,9.050000,9.070000,8.387654,495300
2022-05-31,9.130000,9.130000,8.590000,8.590000,7.943766,4564800
2022-06-01,8.670000,8.870000,8.580000,8.870000,8.202701,549500
2022-06-02,8.880000,9.110000,8.840000,9.000000,8.322921,437900
2022-06-03,8.960000,8.960000,8.660000,8.800000,8.137966,399200
2022-06-06,8.850000,8.850000,8.600000,8.740000,8.082480,1473500
2022-06-07,8.690000,8.700000,8.430000,8.570000,7.925270,546000
2022-06-08,8.510000,8.760000,8.440000,8.630000,7.980756,325500
2022-06-09,8.650000,8.800000,8.580000,8.630000,7.980756,292500
2022-06-10,8.550000,8.660000,8.470000,8.590000,7.943766,359900
2022-06-13,8.500000,8.570000,8.270000,8.380000,7.749565,438200
2022-06-14,8.390000,8.420000,8.160000,8.180000,7.564610,443300
2022-06-15,8.230000,8.400000,8.200000,8.360000,7.731069,430000
2022-06-17,8.290000,8.460000,8.070000,8.350000,7.721821,537100
2022-06-20,8.600000,8.600000,7.910000,7.960000,7.361161,717000
2022-06-21,8.280000,8.280000,7.900000,7.940000,7.342665,269500
2022-06-22,7.890000,8.010000,7.820000,7.850000,7.259436,387500
2022-06-23,7.930000,8.060000,7.810000,7.930000,7.333418,159500
2022-06-24,8.060000,8.060000,7.770000,7.990000,7.388904,368900
2022-06-27,7.940000,8.010000,7.870000,7.900000,7.305675,332300
2022-06-28,8.010000,8.010000,7.730000,7.850000,7.259436,345400
2022-06-29,7.950000,7.950000,7.790000,7.900000,7.305675,173600
2022-06-30,7.900000,7.900000,7.670000,7.800000,7.213198,1375500
2022-07-01,7.860000,8.190000,7.620000,8.190000,7.573857,499200
2022-07-04,8.150000,8.150000,7.650000,7.650000,7.074482,464500
2022-07-05,7.710000,7.710000,7.370000,7.580000,7.009748,548000
2022-07-06,7.550000,7.740000,7.500000,7.630000,7.055987,465400
2022-07-07,7.830000,7.830000,7.550000,7.580000,7.009748,234900
2022-07-08,7.630000,7.720000,7.520000,7.600000,7.028244,171100
2022-07-11,7.570000,7.570000,7.300000,7.410000,6.852538,193400
2022-07-12,7.490000,7.490000,7.320000,7.380000,6.824795,179700
2022-07-13,7.330000,7.440000,7.290000,7.350000,6.797052,543100
2022-07-14,7.330000,7.380000,7.220000,7.310000,6.760061,128800
2022-07-15,7.430000,7.430000,7.200000,7.370000,6.815547,305600
2022-07-18,7.400000,7.640000,7.370000,7.480000,6.917272,370000
2022-07-19,7.470000,7.710000,7.440000,7.670000,7.092978,287500
2022-07-20,7.730000,7.810000,7.610000,7.670000,7.092978,124000
2022-07-21,7.670000,8.050000,7.650000,8.050000,7.444391,356200
2022-07-22,8.050000,8.110000,7.780000,7.990000,7.388904,242800
2022-07-25,8.040000,8.130000,7.850000,8.010000,7.407399,312000
2022-07-26,8.140000,8.160000,7.970000,7.990000,7.388904,137000
2022-07-27,8.010000,8.170000,7.940000,8.170000,7.555363,232500
2022-07-28,8.160000,8.380000,8.050000,8.380000,7.749565,464100
2022-07-29,8.380000,8.460000,8.210000,8.310000,7.684830,185700
2022-08-01,8.310000,8.440000,8.160000,8.400000,7.768059,433100
2022-08-02,8.400000,8.440000,8.300000,8.400000,7.768059,170500
2022-08-03,8.520000,8.610000,8.400000,8.550000,7.906775,503200
2022-08-04,8.710000,8.850000,8.640000,8.750000,8.091728,202900
2022-08-05,8.850000,8.880000,8.670000,8.870000,8.202701,122600
2022-08-08,8.990000,9.120000,8.850000,8.920000,8.248940,520300
2022-08-09,8.990000,9.060000,8.760000,8.850000,8.184206,153700
2022-08-10,8.930000,9.250000,8.930000,9.030000,8.350663,409700
2022-08-11,9.300000,9.300000,8.650000,8.670000,8.017747,221300
2022-08-12,8.840000,8.970000,8.630000,8.770000,8.110225,490700
2022-08-15,8.800000,9.000000,8.740000,8.960000,8.285930,347200
2022-08-16,9.030000,9.050000,8.800000,8.960000,8.285930,851500
2022-08-17,8.880000,9.150000,8.800000,9.100000,8.415399,3005100
2022-08-18,9.120000,9.250000,8.990000,9.080000,8.396902,591400
2022-08-19,9.390000,9.390000,8.980000,9.140000,8.452390,580100
2022-08-22,9.110000,9.340000,9.040000,9.180000,8.489380,1687300
2022-08-23,9.160000,9.160000,8.970000,9.070000,8.387654,1513900
2022-08-24,8.950000,9.150000,8.940000,8.950000,8.276682,847700
2022-08-25,8.950000,9.150000,8.920000,9.150000,8.461635,885300
2022-08-26,9.270000,9.270000,8.910000,9.080000,8.396902,456000
2022-08-29,9.150000,9.310000,8.940000,9.110000,8.424645,389700
2022-08-30,9.140000,9.260000,9.000000,9.100000,8.415399,403100
2022-08-31,9.250000,9.250000,8.820000,8.850000,8.184206,796300
2022-09-01,8.880000,9.080000,8.860000,9.020000,8.341416,328200
2022-09-02,9.110000,9.150000,8.960000,9.040000,8.359911,378000
2022-09-05,9.090000,9.230000,8.990000,9.160000,8.470883,809200
2022-09-06,9.250000,9.250000,8.940000,9.010000,8.332169,478800
2022-09-08,9.280000,9.280000,8.960000,9.080000,8.396902,525600
2022-09-09,9.130000,9.370000,9.070000,9.330000,8.628094,544800
2022-09-12,9.390000,9.500000,9.330000,9.470000,8.757563,667000
2022-09-13,9.370000,9.430000,9.190000,9.260000,8.563361,929800
2022-09-14,9.280000,9.300000,9.110000,9.200000,8.507874,1175400
2022-09-15,9.210000,9.270000,9.110000,9.200000,8.507874,937900
2022-09-16,9.160000,9.230000,8.890000,8.890000,8.221196,6995800
2022-09-19,8.850000,9.110000,8.640000,9.080000,8.396902,1117700
2022-09-20,9.080000,9.290000,9.030000,9.190000,8.498627,405800
2022-09-21,9.190000,9.460000,9.170000,9.440000,8.729819,513100
2022-09-22,10.000000,10.200000,9.410000,9.620000,8.896277,580200
2022-09-23,9.580000,9.630000,9.470000,9.470000,8.757563,395500
2022-09-26,9.460000,9.490000,9.340000,9.400000,8.692827,147200
2022-09-27,9.310000,9.430000,9.290000,9.340000,8.637341,398200
2022-09-28,9.290000,9.420000,9.230000,9.300000,8.600351,304000
2022-09-29,9.250000,9.250000,9.120000,9.230000,8.535618,310400
2022-09-30,9.230000,9.500000,9.100000,9.450000,8.739067,497500
2022-10-03,9.770000,9.790000,9.480000,9.680000,8.951764,932100
2022-10-04,9.800000,9.910000,9.660000,9.770000,9.034993,556600
2022-10-05,9.840000,9.840000,9.660000,9.770000,9.034993,265600
2022-10-06,9.890000,9.950000,9.750000,9.940000,9.192204,299300
2022-10-07,9.970000,10.000000,9.870000,9.910000,9.164461,454700
2022-10-10,9.990000,10.160000,9.900000,10.160000,9.395653,313500
2022-10-11,10.090000,10.300000,10.060000,10.300000,9.525121,396900
2022-10-13,10.320000,10.370000,10.230000,10.280000,9.506624,413200
2022-10-14,10.250000,10.410000,10.240000,10.270000,9.497378,162500
2022-10-17,10.300000,10.480000,10.300000,10.480000,9.691578,114600
2022-10-18,10.480000,10.700000,10.460000,10.700000,9.895027,167700
2022-10-19,10.730000,10.900000,10.730000,10.900000,10.079983,477600
2022-10-20,10.940000,10.980000,10.810000,10.900000,10.079983,913700
2022-10-21,10.900000,11.230000,10.840000,10.990000,10.163211,334200
2022-10-24,11.000000,11.170000,10.980000,11.160000,10.320421,317200
2022-10-25,11.100000,11.270000,11.000000,11.000000,10.172459,178000
2022-10-26,11.000000,11.100000,10.790000,10.800000,9.987505,268200
2022-10-27,10.820000,11.090000,10.810000,10.970000,10.144716,365600
2022-10-28,10.950000,11.150000,10.950000,11.140000,10.301927,356300
2022-10-31,11.000000,11.400000,10.930000,11.350000,10.496129,501100
2022-11-01,11.410000,11.470000,11.180000,11.400000,10.542366,251100
2022-11-03,11.380000,11.500000,11.250000,11.410000,10.551613,321500
2022-11-04,11.520000,11.550000,11.380000,11.550000,10.681081,253900
2022-11-07,11.530000,11.580000,11.310000,11.360000,10.505375,185400
2022-11-08,11.430000,11.430000,11.230000,11.390000,10.533118,294600
2022-11-09,11.460000,11.560000,11.220000,11.320000,10.468384,222500
2022-11-10,11.350000,11.400000,10.670000,10.800000,9.987505,389500
2022-11-11,10.820000,10.990000,10.650000,10.760000,9.950515,601300
2022-11-14,11.000000,11.000000,10.590000,10.820000,10.005999,268400
2022-11-16,10.850000,10.850000,10.510000,10.640000,9.839542,178800
2022-11-17,10.550000,10.550000,10.280000,10.500000,9.710074,245700
2022-11-18,10.550000,10.790000,10.410000,10.410000,9.626845,300700
2022-11-21,10.420000,10.650000,10.400000,10.460000,9.673082,449700
2022-11-22,10.600000,10.610000,10.380000,10.450000,9.663835,332300
2022-11-23,10.470000,10.700000,10.250000,10.700000,9.895027,194500
2022-11-24,10.680000,10.950000,10.630000,10.900000,10.079983,419600
2022-11-25,10.860000,10.860000,10.490000,10.590000,9.793303,90200
2022-11-28,10.510000,10.670000,10.460000,10.480000,9.691578,312100
2022-11-29,10.400000,10.670000,10.400000,10.660000,9.858037,137300
2022-11-30,10.670000,10.710000,10.410000,10.650000,9.848789,237800
2022-12-01,10.570000,10.660000,10.430000,10.540000,9.747066,174000
2022-12-02,10.530000,11.000000,10.400000,11.000000,10.172459,415200
2022-12-05,10.770000,10.800000,10.650000,10.710000,9.904276,357900
2022-12-06,10.900000,10.900000,10.550000,10.650000,9.848789,244300
2022-12-07,10.600000,10.800000,10.580000,10.800000,9.987505,207200
2022-12-08,10.740000,10.740000,10.500000,10.560000,9.765561,126600
2022-12-09,10.450000,10.570000,10.320000,10.320000,9.543616,93500
2022-12-12,10.350000,10.380000,10.010000,10.080000,9.321671,106200
2022-12-13,10.090000,10.120000,9.880000,9.950000,9.201451,267600
2022-12-14,9.830000,10.040000,9.800000,9.950000,9.201451,191200
2022-12-15,9.960000,10.160000,9.940000,9.980000,9.229194,177600
2022-12-16,10.170000,10.170000,9.740000,9.850000,9.254786,2009500
2022-12-19,10.000000,10.050000,9.840000,10.000000,9.395720,356400
2022-12-20,9.950000,10.490000,9.950000,10.300000,9.677592,518000
2022-12-21,10.300000,10.600000,10.220000,10.550000,9.912486,229900
2022-12-22,10.600000,10.710000,10.520000,10.600000,9.959464,139500
2022-12-23,10.780000,11.000000,10.640000,10.940000,10.278917,111600
2022-12-26,11.000000,11.000000,10.800000,10.890000,10.231939,438200
2022-12-27,10.700000,10.980000,10.700000,10.770000,10.119191,87700
2022-12-28,10.930000,10.930000,10.750000,10.930000,10.269523,62700
2022-12-29,10.950000,10.950000,10.800000,10.810000,10.156774,571800
2023-01-02,10.820000,11.020000,10.580000,10.600000,9.959464,115700
2023-01-03,10.500000,10.640000,10.400000,10.480000,9.846714,767200
2023-01-04,10.710000,10.710000,10.390000,10.490000,9.856110,136200
2023-01-05,10.580000,10.580000,10.270000,10.450000,9.818526,399000
2023-01-06,10.700000,10.700000,10.410000,10.600000,9.959464,55100
2023-01-09,10.590000,10.820000,10.490000,10.690000,10.044024,72400
2023-01-10,10.730000,10.820000,10.620000,10.670000,10.025234,208400
2023-01-11,10.660000,10.680000,10.400000,10.580000,9.940672,151400
2023-01-12,10.710000,10.800000,10.530000,10.700000,10.053420,149600
2023-01-13,10.600000,10.600000,10.490000,10.550000,9.912486,144000
2023-01-16,10.530000,10.530000,10.340000,10.340000,9.715175,125300
2023-01-17,10.320000,10.490000,10.250000,10.300000,9.677592,610000
2023-01-18,10.360000,10.500000,10.300000,10.450000,9.818526,136500
2023-01-19,10.460000,10.540000,10.370000,10.450000,9.818526,126000
2023-01-20,10.450000,10.550000,10.300000,10.500000,9.865506,411400
2023-01-23,10.560000,10.700000,10.540000,10.540000,9.903090,30200
2023-01-24,10.650000,10.710000,10.600000,10.690000,10.044024,122300
2023-01-25,10.650000,10.720000,10.590000,10.650000,10.006442,174800
2023-01-26,10.650000,10.700000,10.500000,10.670000,10.025234,596300
2023-01-27,10.720000,10.720000,10.440000,10.540000,9.903090,89900
2023-01-30,10.540000,10.590000,10.340000,10.390000,9.762154,111800
2023-01-31,10.420000,10.500000,10.250000,10.300000,9.677592,568500
2023-02-01,10.550000,10.550000,10.310000,10.390000,9.762154,596600
2023-02-02,10.450000,10.610000,10.420000,10.550000,9.912486,155700
2023-02-03,10.540000,10.570000,10.350000,10.370000,9.743361,128200
2023-02-06,10.410000,10.410000,10.110000,10.150000,9.536655,179600
2023-02-07,10.160000,10.160000,9.840000,9.900000,9.301763,141600
2023-02-08,9.900000,9.960000,9.760000,9.900000,9.301763,165900
2023-02-09,9.900000,9.920000,9.730000,9.780000,9.189013,97900
2023-02-10,9.730000,9.820000,9.700000,9.770000,9.179619,91000
2023-02-13,9.790000,9.870000,9.700000,9.840000,9.245390,195700
2023-02-14,9.890000,10.100000,9.850000,9.990000,9.386324,168500
2023-02-15,10.010000,10.180000,9.890000,10.130000,9.517864,208400
2023-02-16,10.130000,10.230000,10.000000,10.100000,9.489677,316400
2023-02-17,10.100000,10.130000,10.030000,10.100000,9.489677,463400
2023-02-22,10.090000,10.170000,9.910000,10.170000,9.555449,364000
2023-02-23,10.220000,10.220000,9.960000,10.000000,9.395720,115200
2023-02-24,10.060000,10.060000,9.850000,9.900000,9.301763,64600
2023-02-27,9.930000,10.000000,9.850000,9.970000,9.367534,216500
2023-02-28,9.990000,10.320000,9.990000,10.220000,9.602427,242000
2023-03-01,10.150000,10.160000,9.860000,10.080000,9.470886,238800
2023-03-02,10.460000,10.460000,9.900000,10.060000,9.452095,172300
2023-03-03,10.050000,10.120000,9.920000,10.000000,9.395720,147800
2023-03-06,10.010000,10.090000,9.850000,10.010000,9.405116,539500
2023-03-07,10.010000,10.090000,9.950000,10.070000,9.461490,147200
2023-03-08,10.200000,10.500000,10.090000,10.460000,9.827923,212800
2023-03-09,10.470000,10.500000,10.340000,10.400000,9.771548,157500
2023-03-10,10.360000,10.360000,10.170000,10.300000,9.677592,114800
2023-03-13,10.240000,10.240000,10.080000,10.180000,9.564844,242800
2023-03-14,10.300000,10.300000,9.990000,10.100000,9.489677,103300
2023-03-15,10.030000,10.070000,9.830000,9.880000,9.282971,354500
2023-03-16,9.930000,10.200000,9.860000,10.190000,9.574239,114100
2023-03-17,10.250000,10.250000,10.020000,10.200000,9.583635,209200
2023-03-20,10.190000,10.200000,9.950000,9.990000,9.386324,189300
2023-03-21,10.000000,10.170000,9.970000,9.970000,9.367534,273200
2023-03-22,10.190000,10.190000,9.900000,10.040000,9.433303,220200
2023-03-23,10.080000,10.080000,9.820000,9.900000,9.301763,205700
2023-03-24,10.090000,10.090000,9.900000,9.990000,9.386324,132100
2023-03-27,10.200000,10.200000,9.980000,9.990000,9.386324,145600
2023-03-28,10.030000,10.150000,9.980000,10.120000,9.508468,200400
2023-03-29,10.130000,10.130000,9.900000,10.030000,9.423907,158900
2023-03-30,10.080000,10.240000,10.050000,10.140000,9.527260,346400
2023-03-31,10.140000,10.140000,9.620000,9.620000,9.038683,172500
2023-04-03,9.700000,9.760000,9.580000,9.650000,9.066870,772500
2023-04-04,9.890000,9.900000,9.700000,9.900000,9.301763,141200
2023-04-05,9.910000,9.970000,9.740000,9.970000,9.367534,259700
2023-04-06,9.950000,9.970000,9.820000,9.900000,9.301763,103000
2023-04-10,9.890000,10.160000,9.870000,10.160000,9.546052,229200
2023-04-11,10.270000,10.310000,10.170000,10.210000,9.593030,519400
2023-04-12,10.220000,10.290000,10.020000,10.110000,9.499072,379500
2023-04-13,10.130000,10.150000,9.910000,9.970000,9.367534,518100
2023-04-14,9.980000,10.020000,9.930000,10.010000,9.405116,187500
2023-04-17,10.020000,10.070000,9.930000,10.070000,9.461490,141800
2023-04-18,10.100000,10.100000,9.520000,9.990000,9.386324,269800
2023-04-19,9.880000,9.910000,9.700000,9.880000,9.282971,170600
2023-04-20,9.840000,10.050000,9.740000,10.050000,9.442698,108700
2023-04-24,9.980000,10.240000,9.980000,10.070000,9.461490,129000
2023-04-25,10.070000,10.080000,9.920000,10.020000,9.414512,337900
2023-04-26,10.000000,10.050000,9.850000,9.970000,9.367534,969500
2023-04-27,10.030000,10.260000,9.950000,10.130000,9.517864,221800
2023-04-28,9.850000,10.020000,9.820000,10.000000,9.694301,201200
2023-05-02,10.000000,10.120000,9.810000,10.120000,9.810632,2028800
2023-05-03,10.150000,10.150000,9.910000,9.980000,9.674912,664200
2023-05-04,10.050000,10.050000,9.830000,9.900000,9.597358,234900
2023-05-05,9.900000,10.110000,9.900000,10.090000,9.781549,982500
2023-05-08,10.140000,10.260000,10.090000,10.090000,9.781549,257000
2023-05-09,10.060000,10.210000,10.010000,10.210000,9.897882,283700
2023-05-10,10.170000,10.350000,10.130000,10.320000,10.004519,125100
2023-05-11,10.590000,10.590000,10.220000,10.240000,9.926965,605600
2023-05-12,10.290000,10.340000,10.180000,10.210000,9.897882,171000
2023-05-15,10.150000,10.330000,10.130000,10.330000,10.014213,112700
